1 -0.49 2 +0.25 4 -0.73 
1 -0.47 2 +0.26 4 -0.76 
1 -0.45 2 +0.26 4 -0.79 
1 -0.43 2 +0.25 4 -0.82 
1 -0.42 2 +0.25 4 -0.84 
1 -0.40 2 +0.25 4 -0.85 
1 -0.40 2 +0.25 4 -0.87 
1 -0.39 2 +0.26 4 -0.87 
1 -0.40 2 +0.26 4 -0.88 
1 -0.40 2 +0.27 4 -0.88 
1 -0.42 2 +0.28 4 -0.89 
1 -0.43 2 +0.30 4 -0.89 
1 -0.45 2 +0.32 4 -0.89 
1 -0.46 2 +0.34 4 -0.89 
1 -0.48 2 +0.35 4 -0.90 
1 -0.50 2 +0.37 4 -0.90 
1 -0.52 2 +0.39 4 -0.91 
1 -0.54 2 +0.41 4 -0.91 
1 -0.55 2 +0.43 4 -0.92 
1 -0.57 2 +0.44 4 -0.93 
1 -0.57 2 +0.45 4 -0.93 
1 -0.58 2 +0.47 4 -0.93 
1 -0.59 2 +0.48 4 -0.94 
1 -0.60 2 +0.48 4 -0.94 
1 -0.60 2 +0.49 4 -0.94 
1 -0.60 2 +0.49 4 -0.94 
1 -0.60 2 +0.50 4 -0.93 
1 -0.60 2 +0.50 4 -0.93 
1 -0.59 2 +0.50 4 -0.93 
1 -0.59 2 +0.49 4 -0.93 
1 -0.58 2 +0.49 4 -0.92 
1 -0.57 2 +0.48 4 -0.92 
1 -0.56 2 +0.48 4 -0.92 
1 -0.55 2 +0.47 4 -0.92 
1 -0.53 2 +0.46 4 -0.92 
1 -0.51 2 +0.44 4 -0.92 
1 -0.49 2 +0.42 4 -0.93 
1 -0.47 2 +0.40 4 -0.93 
1 -0.44 2 +0.38 4 -0.93 
1 -0.41 2 +0.34 4 -0.94 
1 -0.37 2 +0.31 4 -0.94 
1 -0.33 2 +0.27 4 -0.95 
1 -0.28 4 -0.95 
4 -0.95 
4 -0.95 
4 -0.95 
4 -0.95 
4 -0.95 
4 -0.95 
4 -0.95 
4 -0.94 
4 -0.94 
4 -0.93 
4 -0.93 
4 -0.92 
4 -0.91 
4 -0.90 
4 -0.88 
4 -0.86 
4 -0.84 
4 -0.81 
4 -0.78 
4 -0.74 
4 -0.70 
4 -0.67 
4 -0.63 
0 -0.26 4 -0.59 
0 -0.27 4 -0.57 
0 -0.29 4 -0.55 
0 -0.31 4 -0.53 
0 -0.32 4 -0.53 
0 -0.33 4 -0.53 
0 -0.33 4 -0.53 
0 -0.33 1 -0.26 4 -0.54 
0 -0.31 1 -0.30 4 -0.55 
0 -0.29 1 -0.36 4 -0.56 
0 -0.26 1 -0.42 4 -0.56 
1 -0.49 4 -0.56 
1 -0.56 2 +0.28 4 -0.55 
1 -0.62 2 +0.31 4 -0.54 
1 -0.66 2 +0.32 4 -0.53 
1 -0.70 2 +0.33 4 -0.51 
1 -0.73 2 +0.33 4 -0.50 
1 -0.75 2 +0.33 4 -0.48 
1 -0.77 2 +0.32 4 -0.47 
1 -0.78 2 +0.31 4 -0.46 
1 -0.79 2 +0.31 4 -0.45 
1 -0.80 2 +0.30 4 -0.44 5 -0.27 
1 -0.80 2 +0.29 4 -0.43 5 -0.28 
1 -0.81 2 +0.29 4 -0.42 5 -0.29 
1 -0.81 2 +0.28 4 -0.41 5 -0.30 
1 -0.81 2 +0.28 4 -0.40 5 -0.31 
1 -0.81 2 +0.27 4 -0.40 5 -0.32 
1 -0.80 2 +0.27 4 -0.39 5 -0.33 
1 -0.80 2 +0.27 4 -0.39 5 -0.33 
1 -0.79 2 +0.27 4 -0.39 5 -0.34 
1 -0.79 2 +0.27 4 -0.39 5 -0.35 
1 -0.78 2 +0.26 4 -0.39 5 -0.35 
1 -0.77 2 +0.27 4 -0.40 5 -0.36 
1 -0.76 2 +0.27 4 -0.41 5 -0.36 
1 -0.75 2 +0.27 4 -0.42 5 -0.37 
1 -0.73 2 +0.27 4 -0.43 5 -0.37 
1 -0.72 2 +0.28 4 -0.45 5 -0.37 
1 -0.70 2 +0.28 4 -0.46 5 -0.38 
1 -0.68 2 +0.28 4 -0.48 5 -0.38 
1 -0.67 2 +0.29 4 -0.49 5 -0.39 
1 -0.65 2 +0.29 4 -0.50 5 -0.40 
1 -0.64 2 +0.29 4 -0.51 5 -0.40 
1 -0.62 2 +0.29 4 -0.52 5 -0.41 
1 -0.61 2 +0.30 4 -0.54 5 -0.42 
1 -0.60 2 +0.30 4 -0.55 5 -0.42 
1 -0.59 2 +0.31 4 -0.56 5 -0.43 
1 -0.58 2 +0.32 4 -0.58 5 -0.43 
1 -0.57 2 +0.32 4 -0.60 5 -0.42 
1 -0.56 2 +0.33 4 -0.62 5 -0.41 
1 -0.56 2 +0.34 4 -0.64 5 -0.40 
1 -0.56 2 +0.34 4 -0.66 5 -0.38 
1 -0.56 2 +0.34 4 -0.67 5 -0.37 
1 -0.56 2 +0.35 4 -0.69 5 -0.34 
1 -0.56 2 +0.34 4 -0.70 5 -0.32 
1 -0.57 2 +0.34 4 -0.71 5 -0.30 
1 -0.57 2 +0.34 4 -0.71 5 -0.27 
1 -0.58 2 +0.34 4 -0.72 
1 -0.59 2 +0.33 4 -0.71 
1 -0.61 2 +0.33 4 -0.71 
1 -0.62 2 +0.32 4 -0.70 
1 -0.63 2 +0.32 4 -0.69 
1 -0.64 2 +0.31 4 -0.68 
1 -0.65 2 +0.30 4 -0.66 
1 -0.66 2 +0.30 4 -0.65 
1 -0.66 2 +0.29 4 -0.64 
1 -0.67 2 +0.29 4 -0.63 
1 -0.68 2 +0.28 4 -0.61 
1 -0.69 2 +0.28 4 -0.60 
1 -0.69 2 +0.27 4 -0.59 
1 -0.70 2 +0.27 4 -0.58 
1 -0.71 2 +0.27 4 -0.57 
1 -0.72 2 +0.27 4 -0.56 
1 -0.73 2 +0.27 4 -0.55 
1 -0.74 2 +0.27 4 -0.55 
1 -0.75 2 +0.27 4 -0.54 
1 -0.75 2 +0.28 4 -0.54 
1 -0.76 2 +0.28 4 -0.54 
1 -0.77 2 +0.28 4 -0.54 
1 -0.77 2 +0.29 4 -0.54 
1 -0.77 2 +0.29 4 -0.55 
1 -0.77 2 +0.30 4 -0.55 
1 -0.77 2 +0.30 4 -0.56 
1 -0.76 2 +0.30 4 -0.56 
1 -0.75 2 +0.30 4 -0.57 
1 -0.75 2 +0.31 4 -0.57 
1 -0.74 2 +0.31 4 -0.57 
1 -0.73 2 +0.30 4 -0.57 
1 -0.72 2 +0.30 4 -0.57 
1 -0.70 2 +0.30 4 -0.57 
1 -0.69 2 +0.30 4 -0.57 
1 -0.67 2 +0.29 4 -0.57 
1 -0.65 2 +0.29 4 -0.57 
1 -0.62 2 +0.28 4 -0.56 
0 -0.29 1 -0.59 2 +0.28 4 -0.56 
0 -0.34 1 -0.56 2 +0.27 4 -0.56 
0 -0.39 1 -0.51 4 -0.56 
0 -0.45 1 -0.45 4 -0.55 
0 -0.52 1 -0.37 4 -0.54 
0 -0.58 1 -0.27 4 -0.52 
0 -0.64 4 -0.49 
0 -0.69 4 -0.45 
0 -0.72 4 -0.40 
0 -0.73 2 -0.30 4 -0.35 
0 -0.74 2 -0.36 4 -0.31 
0 -0.73 2 -0.41 4 -0.27 
0 -0.73 1 +0.25 2 -0.45 
0 -0.72 1 +0.26 2 -0.48 
0 -0.70 1 +0.27 2 -0.50 
0 -0.69 1 +0.27 2 -0.52 
0 -0.68 1 +0.27 2 -0.53 
0 -0.66 1 +0.26 2 -0.55 
0 -0.65 1 +0.26 2 -0.55 
0 -0.63 1 +0.25 2 -0.56 
0 -0.62 2 -0.57 
0 -0.60 2 -0.58 
0 -0.57 2 -0.59 
0 -0.54 2 -0.60 
0 -0.51 2 -0.62 
0 -0.47 2 -0.63 
0 -0.44 2 -0.64 
0 -0.40 2 -0.65 5 -0.27 
0 -0.36 2 -0.65 5 -0.33 
0 -0.33 2 -0.65 5 -0.39 
0 -0.29 2 -0.65 5 -0.44 
0 -0.27 2 -0.64 5 -0.49 
2 -0.63 5 -0.54 
2 -0.62 5 -0.58 
2 -0.61 4 +0.26 5 -0.61 
2 -0.59 4 +0.27 5 -0.64 
2 -0.57 4 +0.28 5 -0.67 
2 -0.56 4 +0.28 5 -0.70 
2 -0.54 4 +0.28 5 -0.72 
2 -0.52 4 +0.28 5 -0.74 
2 -0.51 4 +0.28 5 -0.76 
2 -0.49 4 +0.28 5 -0.77 
2 -0.48 4 +0.28 5 -0.78 
2 -0.48 4 +0.28 5 -0.79 
2 -0.47 4 +0.28 5 -0.79 
2 -0.47 4 +0.28 5 -0.80 
0 -0.25 2 -0.48 4 +0.28 5 -0.80 
0 -0.26 2 -0.49 4 +0.28 5 -0.79 
0 -0.27 2 -0.50 4 +0.29 5 -0.79 
0 -0.27 2 -0.52 4 +0.30 5 -0.78 
0 -0.27 2 -0.54 4 +0.30 5 -0.77 
0 -0.26 2 -0.56 4 +0.31 5 -0.75 
0 -0.26 2 -0.58 4 +0.32 5 -0.74 
2 -0.60 4 +0.32 5 -0.72 
2 -0.52 4 +0.31 5 -0.77 
1 -0.28 2 -0.53 4 +0.31 5 -0.75 
1 -0.29 2 -0.55 4 +0.32 5 -0.73 
1 -0.27 2 -0.58 4 +0.32 5 -0.70 
1 -0.27 2 -0.61 4 +0.33 5 -0.67 
2 -0.64 4 +0.33 5 -0.64 
2 -0.66 4 +0.33 5 -0.61 
2 -0.69 4 +0.32 5 -0.58 
2 -0.71 4 +0.31 5 -0.55 
2 -0.73 4 +0.30 5 -0.52 
2 -0.75 4 +0.28 5 -0.48 
2 -0.76 4 +0.27 5 -0.45 
2 -0.78 4 +0.25 5 -0.43 
2 -0.78 5 -0.41 
2 -0.79 5 -0.39 
2 -0.79 5 -0.37 
2 -0.79 5 -0.37 
2 -0.78 5 -0.36 
2 -0.76 5 -0.37 
2 -0.73 5 -0.39 
1 -0.32 2 -0.67 5 -0.42 
1 -0.42 2 -0.54 5 -0.46 
2 -0.85 
1 -0.38 5 -0.41 
1 -0.34 5 -0.40 
1 -0.32 5 -0.40 
1 -0.31 4 -0.25 5 -0.39 
1 -0.30 4 -0.25 5 -0.39 
1 -0.29 4 -0.26 5 -0.38 
1 -0.29 4 -0.26 5 -0.37 
1 -0.28 4 -0.26 5 -0.36 
1 -0.27 4 -0.26 5 -0.34 
1 -0.27 4 -0.26 5 -0.33 
0 -0.26 1 -0.26 4 -0.27 5 -0.31 
0 -0.28 4 -0.26 5 -0.30 
0 -0.31 4 -0.26 5 -0.28 
0 -0.35 4 -0.27 5 -0.25 
0 -0.39 4 -0.27 
0 -0.43 4 -0.27 
0 -0.48 4 -0.27 
0 -0.53 4 -0.29 
0 -0.58 4 -0.32 
0 -0.63 4 -0.34 
0 -0.68 4 -0.35 
0 -0.72 4 -0.36 
0 -0.75 4 -0.36 
0 -0.77 4 -0.36 
0 -0.80 4 -0.35 
0 -0.82 4 -0.35 
0 -0.84 4 -0.33 
0 -0.85 4 -0.32 
0 -0.87 4 -0.30 
0 -0.88 4 -0.29 
0 -0.88 4 -0.28 
0 -0.89 4 -0.26 
0 -0.89 
0 -0.90 
0 -0.90 
0 -0.90 2 -0.26 
0 -0.90 2 -0.28 
0 -0.90 2 -0.31 
0 -0.89 2 -0.35 
0 -0.88 2 -0.39 
0 -0.87 1 +0.26 2 -0.43 
0 -0.85 1 +0.28 2 -0.47 
0 -0.83 1 +0.29 2 -0.52 
0 -0.80 1 +0.31 2 -0.57 
0 -0.77 1 +0.32 2 -0.62 
0 -0.73 1 +0.33 2 -0.66 
0 -0.70 1 +0.34 2 -0.70 
0 -0.66 1 +0.34 2 -0.74 
0 -0.63 1 +0.34 2 -0.77 
0 -0.60 1 +0.33 2 -0.80 
0 -0.57 1 +0.33 2 -0.82 
0 -0.55 1 +0.32 2 -0.84 
0 -0.53 1 +0.32 2 -0.85 
0 -0.52 1 +0.31 2 -0.85 
0 -0.51 1 +0.31 2 -0.85 
0 -0.50 1 +0.31 2 -0.85 
0 -0.50 1 +0.30 2 -0.84 
0 -0.50 1 +0.30 2 -0.83 
0 -0.51 1 +0.30 2 -0.82 
0 -0.52 1 +0.31 2 -0.81 
0 -0.52 1 +0.31 2 -0.79 
0 -0.53 1 +0.31 2 -0.77 
0 -0.55 1 +0.31 2 -0.75 
0 -0.56 1 +0.31 2 -0.72 
0 -0.57 1 +0.30 2 -0.70 
0 -0.58 1 +0.30 2 -0.66 
0 -0.60 1 +0.29 2 -0.62 
0 -0.61 1 +0.27 2 -0.58 
0 -0.63 2 -0.53 
0 -0.64 2 -0.46 4 -0.26 
0 -0.65 2 -0.36 4 -0.32 
0 -0.64 4 -0.39 
0 -0.59 1 -0.27 4 -0.44 
0 -0.52 1 -0.44 4 -0.46 
0 -0.45 1 -0.54 4 -0.45 
0 -0.37 1 -0.62 4 -0.43 
0 -0.29 1 -0.67 4 -0.41 
1 -0.71 4 -0.39 
1 -0.73 4 -0.37 
1 -0.75 4 -0.36 
1 -0.76 4 -0.35 
1 -0.76 4 -0.34 
1 -0.76 4 -0.34 
1 -0.75 4 -0.34 
1 -0.75 4 -0.35 
1 -0.74 4 -0.36 
1 -0.72 4 -0.37 
1 -0.71 4 -0.38 
1 -0.69 4 -0.38 
1 -0.67 4 -0.38 
1 -0.65 4 -0.38 
1 -0.63 4 -0.38 5 -0.28 
1 -0.61 4 -0.36 5 -0.31 
1 -0.58 4 -0.35 5 -0.36 
1 -0.56 4 -0.33 5 -0.40 
1 -0.54 4 -0.30 5 -0.44 
1 -0.51 4 -0.27 5 -0.49 
1 -0.49 5 -0.54 
1 -0.46 5 -0.58 
1 -0.44 5 -0.62 
1 -0.41 5 -0.66 
1 -0.38 5 -0.70 
1 -0.35 5 -0.73 
1 -0.32 5 -0.75 
1 -0.30 5 -0.77 
1 -0.27 5 -0.78 
5 -0.79 
2 -0.25 5 -0.79 
2 -0.28 5 -0.79 
2 -0.31 5 -0.79 
2 -0.33 5 -0.79 
2 -0.36 5 -0.78 
2 -0.38 5 -0.78 
2 -0.40 5 -0.77 
2 -0.42 5 -0.77 
2 -0.44 5 -0.76 
2 -0.47 5 -0.75 
2 -0.49 5 -0.74 
2 -0.51 5 -0.73 
2 -0.54 4 +0.25 5 -0.72 
2 -0.56 4 +0.26 5 -0.71 
2 -0.59 4 +0.26 5 -0.69 
2 -0.61 4 +0.27 5 -0.68 
2 -0.63 4 +0.27 5 -0.67 
2 -0.66 4 +0.27 5 -0.65 
2 -0.68 4 +0.27 5 -0.64 
2 -0.70 4 +0.27 5 -0.62 
2 -0.72 4 +0.27 5 -0.61 
2 -0.73 4 +0.27 5 -0.60 
2 -0.75 4 +0.28 5 -0.59 
2 -0.76 4 +0.28 5 -0.57 
2 -0.78 4 +0.28 5 -0.56 
2 -0.79 4 +0.28 5 -0.55 
2 -0.80 4 +0.27 5 -0.54 
2 -0.80 4 +0.27 5 -0.54 
2 -0.81 4 +0.27 5 -0.53 
2 -0.81 4 +0.27 5 -0.53 
2 -0.80 4 +0.27 5 -0.52 
2 -0.80 4 +0.27 5 -0.52 
2 -0.80 4 +0.27 5 -0.52 
2 -0.79 4 +0.27 5 -0.52 
2 -0.79 4 +0.26 5 -0.51 
2 -0.78 4 +0.26 5 -0.50 
2 -0.78 4 +0.25 5 -0.50 
2 -0.78 5 -0.48 
2 -0.77 5 -0.47 
2 -0.77 5 -0.45 
2 -0.77 5 -0.43 
2 -0.77 5 -0.39 
0 -0.26 2 -0.76 5 -0.36 
0 -0.32 1 +0.25 2 -0.75 5 -0.31 
0 -0.37 1 +0.29 2 -0.74 5 -0.26 
0 -0.42 1 +0.31 2 -0.72 
0 -0.47 1 +0.33 2 -0.69 
0 -0.50 1 +0.33 2 -0.66 
0 -0.54 1 +0.32 2 -0.62 
0 -0.57 1 +0.30 2 -0.57 4 -0.26 
0 -0.60 1 +0.27 2 -0.51 4 -0.31 
0 -0.63 2 -0.46 4 -0.34 
0 -0.65 2 -0.40 4 -0.37 
0 -0.67 2 -0.35 4 -0.40 
0 -0.70 2 -0.30 4 -0.41 
0 -0.71 2 -0.27 4 -0.41 
0 -0.73 4 -0.42 
0 -0.75 4 -0.42 
0 -0.76 4 -0.41 
0 -0.77 4 -0.41 
0 -0.78 4 -0.40 
0 -0.78 4 -0.40 
0 -0.79 4 -0.39 
0 -0.79 4 -0.39 
0 -0.79 4 -0.39 
0 -0.78 4 -0.38 
0 -0.77 4 -0.37 
0 -0.76 4 -0.37 
0 -0.74 4 -0.36 
0 -0.72 4 -0.35 
0 -0.70 4 -0.35 
0 -0.68 4 -0.34 
0 -0.65 4 -0.33 
0 -0.63 4 -0.33 
0 -0.60 4 -0.33 
0 -0.57 4 -0.34 
0 -0.55 1 -0.32 4 -0.36 
0 -0.51 1 -0.45 4 -0.38 
0 -0.47 1 -0.56 4 -0.38 
0 -0.43 1 -0.64 2 +0.27 4 -0.37 
0 -0.38 1 -0.69 2 +0.27 4 -0.35 
0 -0.32 1 -0.73 2 +0.26 4 -0.33 
0 -0.26 1 -0.76 4 -0.30 
1 -0.78 4 -0.28 
1 -0.79 
1 -0.80 
1 -0.81 
1 -0.81 
1 -0.81 5 -0.29 
1 -0.80 5 -0.34 
1 -0.80 5 -0.39 
1 -0.79 5 -0.43 
1 -0.78 5 -0.47 
1 -0.77 5 -0.51 
0 +0.27 1 -0.75 5 -0.55 
0 +0.29 1 -0.74 5 -0.58 
0 +0.30 1 -0.72 5 -0.62 
0 +0.31 1 -0.70 5 -0.65 
0 +0.31 1 -0.68 5 -0.67 
0 +0.32 1 -0.66 5 -0.70 
0 +0.32 1 -0.64 5 -0.72 
0 +0.31 1 -0.62 5 -0.73 
0 +0.31 1 -0.61 5 -0.75 
0 +0.31 1 -0.59 5 -0.76 
0 +0.31 1 -0.58 5 -0.77 
0 +0.31 1 -0.57 5 -0.78 
0 +0.31 1 -0.56 5 -0.79 
0 +0.32 1 -0.56 5 -0.79 
0 +0.32 1 -0.56 5 -0.79 
0 +0.33 1 -0.57 5 -0.79 
0 +0.34 1 -0.58 5 -0.79 
0 +0.35 1 -0.59 5 -0.78 
0 +0.37 1 -0.60 5 -0.78 
0 +0.38 1 -0.62 5 -0.77 
0 +0.39 1 -0.63 5 -0.76 
0 +0.40 1 -0.64 5 -0.75 
0 +0.42 1 -0.65 5 -0.75 
0 +0.43 1 -0.66 5 -0.74 
0 +0.44 1 -0.67 5 -0.73 
0 +0.45 1 -0.68 5 -0.72 
0 +0.45 1 -0.68 5 -0.71 
0 +0.46 1 -0.67 5 -0.70 
0 +0.47 1 -0.66 5 -0.70 
1 -0.62 2 +0.26 4 -0.52 
0 -0.63 1 -0.50 4 -0.65 5 +0.46 
0 -0.68 1 -0.44 4 -0.67 5 +0.48 
0 -0.71 1 -0.36 4 -0.67 5 +0.48 
0 -0.74 1 -0.29 4 -0.65 5 +0.44 
0 -0.74 4 -0.60 5 +0.38 
0 -0.74 4 -0.53 5 +0.29 
0 -0.74 4 -0.44 
0 -0.73 4 -0.35 
0 -0.73 4 -0.29 
0 -0.73 4 -0.25 
0 -0.73 
0 -0.74 
0 -0.75 
0 -0.76 
0 -0.76 
0 -0.77 
0 -0.78 
0 -0.79 
0 -0.79 
0 -0.80 
0 -0.79 
0 -0.79 
0 -0.77 2 -0.29 
0 -0.76 2 -0.35 
0 -0.73 1 +0.26 2 -0.42 
0 -0.70 1 +0.29 2 -0.49 
0 -0.67 1 +0.32 2 -0.55 
0 -0.63 1 +0.34 2 -0.61 
0 -0.59 1 +0.35 2 -0.66 
0 -0.55 1 +0.34 2 -0.70 
0 -0.51 1 +0.34 2 -0.73 
0 -0.47 1 +0.33 2 -0.76 
0 -0.44 1 +0.32 2 -0.78 
0 -0.41 1 +0.31 2 -0.79 
0 -0.38 1 +0.29 2 -0.79 
0 -0.36 1 +0.28 2 -0.80 
0 -0.34 1 +0.27 2 -0.80 
0 -0.32 1 +0.26 2 -0.79 
0 -0.30 2 -0.79 
0 -0.28 2 -0.79 
2 -0.79 
2 -0.79 5 -0.31 
2 -0.77 5 -0.42 
2 -0.75 4 +0.31 5 -0.50 
